state,AverageCost _of_ElectricityCentskWh,avgWattCostState,avgSunHoursState
Alabama,9.84,2.45,3.5
Alaska,19.82,2.41,2
Arizona,10.44,2.61,7
Arkansas,8.32,2.54,3.5
California,18,2.73,5.5
Colorado,10.27,2.69,5
Connecticut,19.13,2.8,3
Delaware,10.24,2.58,4
Florida,10.06,2.53,4
Georgia,9.93,2.55,4
Hawaii,27.55,2.67,4
Idaho,7.99,2.6,4
Illinois,9.75,2.73,3
Indiana,9.92,2.68,2.5
Iowa,8.97,2.77,4
Kansas,10.38,2.59,4
Kentucky,8.58,2.34,3
Louisiana,7.51,2.57,4
Maine,13.54,2.83,3
Maryland,11.15,2.77,3
Massachusetts,18.19,2.94,3
Michigan,12.21,2.81,2.5
Minnesota,10.57,2.84,4
Mississippi,9.13,2.64,4
Missouri,9.64,2.59,4
Montana,9.13,2.54,4
Nebraska,8.97,2.83,4.5
Nevada,8.33,2.52,6
New Hampshire,16.63,2.91,3
New Jersey,13.63,2.77,3.5
New Mexico,9.33,2.68,6
New York,14.87,2.95,3
North Carolina,9.43,2.54,4
North Dakota,8.53,2.42,4
Ohio,9.44,2.56,2.5
Oklahoma,7.63,2.62,4.5
Oregon,8.82,2.6,3
Pennsylvania,9.7,2.55,3
Rhode Island,18.54,2.84,3.5
South Carolina,9.9,2.72,4
South Dakota,10.06,2.39,4.5
Tennessee,9.52,2.49,4
Texas,8.36,2.69,4.5
Utah,8.27,2.68,6
Vermont,16.33,2.87,3
Virginia,9.16,2.75,3.5
Washington,8.33,2.69,2.5
West Virginia,8.75,2.64,3
Wisconsin,10.82,2.6,3.5
Wyoming,8.27,2.57,5.5
"Washington, DC",13.2,3.16,4.23
