state,AvgCostElectricCentskWh,avgWattCostState,avgSunHoursState
Alabama,9.79,2.72,3.5
Alaska,22.17,2.41,2
Arizona,12.63,2.33,7
Arkansas,10.86,2.54,3.5
California,23.22,2.69,5.5
Colorado,13.51,3.13,5
Connecticut,20.85,3.06,3
Delaware,12.62,2.62,4
Florida,12.2,2.44,4
Georgia,12.15,2.99,4
Hawaii,35.57,2.67,4
Idaho,10.33,2.55,4
Illinois,13.53,2.98,3
Indiana,13.65,3.25,2.5
Iowa,11.55,3.02,4
Kansas,12.69,2.59,4
Kentucky,12.19,2.34,3
Louisiana,11.56,3.14,4
Maine,17.91,2.64,3
Maryland,14.08,2.92,3
Massachusetts,24.3,3.11,3
Michigan,17.25,3.1,2.5
Minnesota,12.8,3.04,4
Mississippi,11.98,2.64,4
Missouri,10.62,2.59,4
Montana,11.14,3.03,4
Nebraska,10.22,2.83,4.5
Nevada,12.21,2.44,6
New Hampshire,21.02,3.06,3
New Jersey,16,2.79,3.5
New Mexico,13.07,3.21,6
New York,19.5,3.16,3
North Carolina,11.29,2.75,4
North Dakota,9.35,2.42,4
Ohio,12.78,2.68,2.5
Oklahoma,10.73,3.08,4.5
Oregon,11.16,2.89,3
Pennsylvania,14.37,3.01,3
Rhode Island,25.11,3.15,3.5
South Carolina,13.07,2.78,4
South Dakota,11.53,2.39,4.5
Tennessee,11.64,2.49,4
Texas,12.55,2.64,4.5
Utah,10.16,2.63,6
Vermont,19.6,2.98,3
Virginia,11.85,2.85,3.5
Washington,10.07,2.64,2.5
West Virginia,11.82,2.64,3
Wisconsin,14.22,3.02,3.5
Wyoming,10.63,2.57,5.5
Washington  DC,13.78,3.41,3.16
