state,AvgCostElectricCentskWh,avgWattCostState,avgSunHoursState,imgUrl
Texas,12.28,2.64,4.9,https://solarwithoutasalesman.solarisnational.com/wp-content/uploads/2022/07/texas.svg
Alabama,13.15,2.72,3.5,https://solarwithoutasalesman.solarisnational.com/wp-content/uploads/2022/07/450-solar-panel-lineal.webp
Alaska,22.1,2.41,2,https://solarwithoutasalesman.solarisnational.com/wp-content/uploads/2022/07/450-solar-panel-lineal.webp
Arizona,12.69,2.33,7,https://solarwithoutasalesman.solarisnational.com/wp-content/uploads/2022/07/450-solar-panel-lineal.webp
Arkansas,10.24,2.54,3.5,https://solarwithoutasalesman.solarisnational.com/wp-content/uploads/2022/07/450-solar-panel-lineal.webp
California,25.59,2.69,5.5,https://solarwithoutasalesman.solarisnational.com/wp-content/uploads/2022/07/450-solar-panel-lineal.webp
Colorado,13.63,3.13,5,https://solarwithoutasalesman.solarisnational.com/wp-content/uploads/2022/07/450-solar-panel-lineal.webp
Connecticut,26.48,3.06,3,https://solarwithoutasalesman.solarisnational.com/wp-content/uploads/2022/07/450-solar-panel-lineal.webp
Delaware,12.24,2.62,4,https://solarwithoutasalesman.solarisnational.com/wp-content/uploads/2022/07/450-solar-panel-lineal.webp
Florida,13.7,2.44,4,https://solarwithoutasalesman.solarisnational.com/wp-content/uploads/2022/07/450-solar-panel-lineal.webp
Georgia,11.9,2.99,4,https://solarwithoutasalesman.solarisnational.com/wp-content/uploads/2022/07/450-solar-panel-lineal.webp
Hawaii,38.15,2.67,4,https://solarwithoutasalesman.solarisnational.com/wp-content/uploads/2022/07/450-solar-panel-lineal.webp
Idaho,9.75,2.55,4,https://solarwithoutasalesman.solarisnational.com/wp-content/uploads/2022/07/450-solar-panel-lineal.webp
Illinois,14.05,2.98,3,https://solarwithoutasalesman.solarisnational.com/wp-content/uploads/2022/07/450-solar-panel-lineal.webp
Indiana,13.43,3.25,2.5,https://solarwithoutasalesman.solarisnational.com/wp-content/uploads/2022/07/450-solar-panel-lineal.webp
Iowa,11.33,3.02,4,https://solarwithoutasalesman.solarisnational.com/wp-content/uploads/2022/07/450-solar-panel-lineal.webp
Kansas,12.68,2.59,4,https://solarwithoutasalesman.solarisnational.com/wp-content/uploads/2022/07/450-solar-panel-lineal.webp
Kentucky,11.44,2.34,3,https://solarwithoutasalesman.solarisnational.com/wp-content/uploads/2022/07/450-solar-panel-lineal.webp
Louisiana,10.5,3.14,4,https://solarwithoutasalesman.solarisnational.com/wp-content/uploads/2022/07/450-solar-panel-lineal.webp
Maine,20.95,2.64,3,https://solarwithoutasalesman.solarisnational.com/wp-content/uploads/2022/07/450-solar-panel-lineal.webp
Maryland,14.06,2.92,3,https://solarwithoutasalesman.solarisnational.com/wp-content/uploads/2022/07/450-solar-panel-lineal.webp
Massachusetts,25.59,3.11,3,https://solarwithoutasalesman.solarisnational.com/wp-content/uploads/2022/07/450-solar-panel-lineal.webp
Michigan,17.13,3.1,2.5,https://solarwithoutasalesman.solarisnational.com/wp-content/uploads/2022/07/450-solar-panel-lineal.webp
Minnesota,13.17,3.04,4,https://solarwithoutasalesman.solarisnational.com/wp-content/uploads/2022/07/450-solar-panel-lineal.webp
Mississippi,11.75,2.64,4,https://solarwithoutasalesman.solarisnational.com/wp-content/uploads/2022/07/450-solar-panel-lineal.webp
Missouri,10,2.59,4,https://solarwithoutasalesman.solarisnational.com/wp-content/uploads/2022/07/450-solar-panel-lineal.webp
Montana,10.42,3.03,4,https://solarwithoutasalesman.solarisnational.com/wp-content/uploads/2022/07/450-solar-panel-lineal.webp
Nebraska,9.78,2.83,4.5,https://solarwithoutasalesman.solarisnational.com/wp-content/uploads/2022/07/450-solar-panel-lineal.webp
Nevada,13.18,2.44,6,https://solarwithoutasalesman.solarisnational.com/wp-content/uploads/2022/07/450-solar-panel-lineal.webp
New Hampshire,22.15,3.06,3,https://solarwithoutasalesman.solarisnational.com/wp-content/uploads/2022/07/450-solar-panel-lineal.webp
New Jersey,15.77,2.79,3.5,https://solarwithoutasalesman.solarisnational.com/wp-content/uploads/2022/07/450-solar-panel-lineal.webp
New Mexico,13.24,3.21,6,https://solarwithoutasalesman.solarisnational.com/wp-content/uploads/2022/07/450-solar-panel-lineal.webp
New York,21.58,3.16,3,https://solarwithoutasalesman.solarisnational.com/wp-content/uploads/2022/07/450-solar-panel-lineal.webp
North Carolina,11.21,2.75,4,https://solarwithoutasalesman.solarisnational.com/wp-content/uploads/2022/07/450-solar-panel-lineal.webp
North Dakota,9.64,2.42,4,https://solarwithoutasalesman.solarisnational.com/wp-content/uploads/2022/07/450-solar-panel-lineal.webp
Ohio,12.67,2.68,2.5,https://solarwithoutasalesman.solarisnational.com/wp-content/uploads/2022/07/450-solar-panel-lineal.webp
Oklahoma,10.4,3.08,4.5,https://solarwithoutasalesman.solarisnational.com/wp-content/uploads/2022/07/450-solar-panel-lineal.webp
Oregon,10.92,2.89,3,https://solarwithoutasalesman.solarisnational.com/wp-content/uploads/2022/07/450-solar-panel-lineal.webp
Pennsylvania,14.48,3.01,3,https://solarwithoutasalesman.solarisnational.com/wp-content/uploads/2022/07/450-solar-panel-lineal.webp
Rhode Island,25.69,3.15,3.5,https://solarwithoutasalesman.solarisnational.com/wp-content/uploads/2022/07/450-solar-panel-lineal.webp
South Carolina,13.07,2.78,4,https://solarwithoutasalesman.solarisnational.com/wp-content/uploads/2022/07/450-solar-panel-lineal.webp
South Dakota,11.27,2.39,4.5,https://solarwithoutasalesman.solarisnational.com/wp-content/uploads/2022/07/450-solar-panel-lineal.webp
Tennessee,10.89,2.49,4,https://solarwithoutasalesman.solarisnational.com/wp-content/uploads/2022/07/450-solar-panel-lineal.webp
Utah,10.59,2.63,6,https://solarwithoutasalesman.solarisnational.com/wp-content/uploads/2022/07/450-solar-panel-lineal.webp
Vermont,19.21,2.98,3,https://solarwithoutasalesman.solarisnational.com/wp-content/uploads/2022/07/450-solar-panel-lineal.webp
Virginia,12.07,2.85,3.5,https://solarwithoutasalesman.solarisnational.com/wp-content/uploads/2022/07/450-solar-panel-lineal.webp
Washington,10.03,2.64,2.5,https://solarwithoutasalesman.solarisnational.com/wp-content/uploads/2022/07/450-solar-panel-lineal.webp
West Virginia,11.92,2.64,3,https://solarwithoutasalesman.solarisnational.com/wp-content/uploads/2022/07/450-solar-panel-lineal.webp
Wisconsin,14.96,3.02,3.5,https://solarwithoutasalesman.solarisnational.com/wp-content/uploads/2022/07/450-solar-panel-lineal.webp
Wyoming,10.32,2.57,5.5,https://solarwithoutasalesman.solarisnational.com/wp-content/uploads/2022/07/450-solar-panel-lineal.webp
Washington  DC,13.6,3.41,3.16,https://solarwithoutasalesman.solarisnational.com/wp-content/uploads/2022/07/450-solar-panel-lineal.webp
,,,,
,,,,
