state,AvgCostElectricCentskWh,avgWattCostState,avgSunHoursState,imgUrl
Alabama,13.15,2.72,3.5,https://solarisnational.com/wp-content/uploads/2022/04/alabama.svg
Alaska,22.1,2.41,2,https://solarisnational.com/wp-content/uploads/2022/04/alaska.svg
Arizona,12.69,2.33,7,https://solarisnational.com/wp-content/uploads/2022/04/arizona.svg
Arkansas,10.24,2.54,3.5,https://solarisnational.com/wp-content/uploads/2022/04/arkansas.svg
California,25.59,2.69,5.5,https://solarisnational.com/wp-content/uploads/2022/04/california.svg
Colorado,13.63,3.13,5,https://solarisnational.com/wp-content/uploads/2022/04/colorado.svg
Connecticut,26.48,3.06,3,https://solarisnational.com/wp-content/uploads/2022/04/connecticut.svg
Delaware,12.24,2.62,4,https://solarisnational.com/wp-content/uploads/2022/04/delaware.svg
Florida,13.7,2.44,4,https://solarisnational.com/wp-content/uploads/2022/04/florida.svg
Georgia,11.9,2.99,4,https://solarisnational.com/wp-content/uploads/2022/04/georgia.svg
Hawaii,38.15,2.67,4,https://solarisnational.com/wp-content/uploads/2022/04/hawaii.svg
Idaho,9.75,2.55,4,https://solarisnational.com/wp-content/uploads/2022/04/idaho.svg
Illinois,14.05,2.98,3,https://solarisnational.com/wp-content/uploads/2022/04/illinois.svg
Indiana,13.43,3.25,2.5,https://solarisnational.com/wp-content/uploads/2022/04/indiana.svg
Iowa,11.33,3.02,4,https://solarisnational.com/wp-content/uploads/2022/04/iowa.svg
Kansas,12.68,2.59,4,https://solarisnational.com/wp-content/uploads/2022/04/kansas.svg
Kentucky,11.44,2.34,3,https://solarisnational.com/wp-content/uploads/2022/04/kentucky.svg
Louisiana,10.5,3.14,4,https://solarisnational.com/wp-content/uploads/2022/04/louisiana.svg
Maine,20.95,2.64,3,https://solarisnational.com/wp-content/uploads/2022/04/maine.svg
Maryland,14.06,2.92,3,https://solarisnational.com/wp-content/uploads/2022/04/maryland.svg
Massachusetts,25.59,3.11,3,https://solarisnational.com/wp-content/uploads/2022/04/massachusetts.svg
Michigan,17.13,3.1,2.5,https://solarisnational.com/wp-content/uploads/2022/04/michigan.svg
Minnesota,13.17,3.04,4,https://solarisnational.com/wp-content/uploads/2022/04/minnesota.svg
Mississippi,11.75,2.64,4,https://solarisnational.com/wp-content/uploads/2022/04/mississippi.svg
Missouri,10,2.59,4,https://solarisnational.com/wp-content/uploads/2022/04/missouri.svg
Montana,10.42,3.03,4,https://solarisnational.com/wp-content/uploads/2022/04/montana.svg
Nebraska,9.78,2.83,4.5,https://solarisnational.com/wp-content/uploads/2022/04/nebraska.svg
Nevada,13.18,2.44,6,https://solarisnational.com/wp-content/uploads/2022/04/nevada.svg
New Hampshire,22.15,3.06,3,https://solarisnational.com/wp-content/uploads/2022/04/new-hampshire.svg
New Jersey,15.77,2.79,3.5,https://solarisnational.com/wp-content/uploads/2022/04/new-jersey.svg
New Mexico,13.24,3.21,6,https://solarisnational.com/wp-content/uploads/2022/04/new-mexico.svg
New York,21.58,3.16,3,https://solarisnational.com/wp-content/uploads/2022/04/new-york.svg
North Carolina,11.21,2.75,4,https://solarisnational.com/wp-content/uploads/2022/04/north-carolina.svg
North Dakota,9.64,2.42,4,https://solarisnational.com/wp-content/uploads/2022/04/north-dakota.svg
Ohio,12.67,2.68,2.5,https://solarisnational.com/wp-content/uploads/2022/04/ohio.svg
Oklahoma,10.4,3.08,4.5,https://solarisnational.com/wp-content/uploads/2022/04/oklahoma.svg
Oregon,10.92,2.89,3,https://solarisnational.com/wp-content/uploads/2022/04/oregon.svg
Pennsylvania,14.48,3.01,3,https://solarisnational.com/wp-content/uploads/2022/04/pennsylvania.svg
Rhode Island,25.69,3.15,3.5,https://solarisnational.com/wp-content/uploads/2022/04/rhode-island.svg
South Carolina,13.07,2.78,4,https://solarisnational.com/wp-content/uploads/2022/04/south-carolina.svg
South Dakota,11.27,2.39,4.5,https://solarisnational.com/wp-content/uploads/2022/04/south-dakota.svg
Tennessee,10.89,2.49,4,https://solarisnational.com/wp-content/uploads/2022/04/tennessee.svg
Texas,12.28,2.64,4.5,https://solarisnational.com/wp-content/uploads/2022/04/texas.svg
Utah,10.59,2.63,6,https://solarisnational.com/wp-content/uploads/2022/04/utah.svg
Vermont,19.21,2.98,3,https://solarisnational.com/wp-content/uploads/2022/04/vermont.svg
Virginia,12.07,2.85,3.5,https://solarisnational.com/wp-content/uploads/2022/04/virginia.svg
Washington,10.03,2.64,2.5,https://solarisnational.com/wp-content/uploads/2022/04/washington.svg
West Virginia,11.92,2.64,3,https://solarisnational.com/wp-content/uploads/2022/04/west-virginia.svg
Wisconsin,14.96,3.02,3.5,https://solarisnational.com/wp-content/uploads/2022/04/wisconsin.svg
Wyoming,10.32,2.57,5.5,https://solarisnational.com/wp-content/uploads/2022/04/wyoming.svg
Washington  DC,13.6,3.41,3.16,https://solarisnational.com/wp-content/uploads/2022/04/washington.svg
